rank,candidate_id,job_role,final_score,scoring_mode,skill_score,experience_score,education_score,semantic_score,rating,recommendation,priority,zone,explanation,bias_flags,missing_scores,rejection_reasons,source_file
371,Amala_Resume_DS_DA_2026__skills,remote clinical data analyst,49.9,passthrough,90.0,38.0,36.0,8.0,Poor Fit,Not recommended for this role,Reject,rejected,"Rejected: final=49.9 < 50.0. Top drivers: ATS match=50, Skill match=90, Experience=38.",,,below_review_threshold (49.9 < 50.0),Amala_Resume_DS_DA_2026__skills__Remote_Clinical_Data_Analyst_parsed_jd.json
372,Amala_Resume_DS_DA_2026__skills,healthcare statistician,49.9,passthrough,90.0,36.0,36.0,11.0,Poor Fit,Not recommended for this role,Reject,rejected,"Rejected: final=49.9 < 50.0. Top drivers: ATS match=50, Skill match=90, Experience=36.",,,below_review_threshold (49.9 < 50.0),Amala_Resume_DS_DA_2026__skills__healthcare_statistician_biostatistician_parsed_jd.json
373,Resume_4_Medical_Data_Analyst_skills,healthcare data architect,49.9,passthrough,90.0,8.0,46.0,14.0,Poor Fit,Not recommended for this role,Reject,rejected,"Rejected: final=49.9 < 50.0. Top drivers: ATS match=50, Skill match=90, Experience=8.",,,below_review_threshold (49.9 < 50.0),ranked_Healthcare_Data_Architect_parsed_jd.json
374,Resume_5_Health_Information_Analyst_skills,clinical trials data manager,49.7,passthrough,84.0,44.0,51.0,9.0,Poor Fit,Not recommended for this role,Reject,rejected,"Rejected: final=49.7 < 50.0. Top drivers: ATS match=50, Skill match=84, Experience=44.",,,below_review_threshold (49.7 < 50.0),ranked_Clinical_Trials_Data_Manager_parsed_jd.json
375,Resume_5_Health_Information_Analyst_skills,biostatistician,49.65,passthrough,84.0,40.0,51.0,3.0,Poor Fit,Not recommended for this role,Reject,rejected,"Rejected: final=49.65 < 50.0. Top drivers: ATS match=50, Skill match=84, Experience=40.",,,below_review_threshold (49.65 < 50.0),ranked_Biostatistician_parsed_jd.json
376,Resume_4_Medical_Data_Analyst_skills,healthcare dashboard developer,49.4,passthrough,90.0,6.0,46.0,14.0,Poor Fit,Not recommended for this role,Reject,rejected,"Rejected: final=49.4 < 50.0. Top drivers: ATS match=49, Skill match=90, Experience=6.",,,below_review_threshold (49.4 < 50.0),ranked_Healthcare_Dashboard_Developer_parsed_jd.json
377,Resume_1_Healthcare_Data_Analyst_Junior_skills,cost & utilization analyst,49.25,passthrough,90.0,24.0,53.0,13.0,Poor Fit,Not recommended for this role,Reject,rejected,"Rejected: final=49.25 < 50.0. Top drivers: ATS match=49, Skill match=90, Experience=24.",,,below_review_threshold (49.25 < 50.0),ranked_cost_utilization_analyst_healthcare_parsed_jd.json
378,Resume_5_Health_Information_Analyst_skills,epidemiology data analyst,49.25,passthrough,84.0,36.0,51.0,7.0,Poor Fit,Not recommended for this role,Reject,rejected,"Rejected: final=49.25 < 50.0. Top drivers: ATS match=49, Skill match=84, Experience=36.",,,below_review_threshold (49.25 < 50.0),ranked_Epidemiology_Data_Analyst_parsed_jd.json
379,Resume_4_Medical_Data_Analyst_skills,epidemiologist,49.2,passthrough,90.0,30.0,46.0,9.0,Poor Fit,Not recommended for this role,Reject,rejected,"Rejected: final=49.2 < 50.0. Top drivers: ATS match=49, Skill match=90, Experience=30.",,,below_review_threshold (49.2 < 50.0),ranked_epidemiologist_datafocused_parsed_jd.json
380,Resume_4_Medical_Data_Analyst_skills,epidemiology data analyst,49.2,passthrough,90.0,28.0,46.0,12.0,Poor Fit,Not recommended for this role,Reject,rejected,"Rejected: final=49.2 < 50.0. Top drivers: ATS match=49, Skill match=90, Experience=28.",,,below_review_threshold (49.2 < 50.0),ranked_Epidemiology_Data_Analyst_parsed_jd.json
381,Resume_1_Healthcare_Data_Analyst_Junior_skills,ai specialist in healthcare analytics,49.15,passthrough,90.0,29.0,53.0,5.0,Poor Fit,Not recommended for this role,Reject,rejected,"Rejected: final=49.15 < 50.0. Top drivers: ATS match=49, Skill match=90, Experience=29.",,,below_review_threshold (49.15 < 50.0),ranked_ai_specialist_in_healthcare_analytics_parsed_jd.json
382,Resume_1_Healthcare_Data_Analyst_Junior_skills,fraud & compliance analyst,49.05,passthrough,90.0,22.0,53.0,15.0,Poor Fit,Not recommended for this role,Reject,rejected,"Rejected: final=49.05 < 50.0. Top drivers: ATS match=49, Skill match=90, Experience=22.",,,below_review_threshold (49.05 < 50.0),ranked_fraud_compliance_analyst_parsed_jd.json
