rank,candidate_id,job_role,final_score,scoring_mode,skill_score,experience_score,education_score,semantic_score,rating,recommendation,priority,zone,explanation,bias_flags,missing_scores,rejection_reasons,source_file
13,Resume_2_Clinical_Data_Analyst_skills,healthcare risk analyst,69.95,passthrough,87.0,89.0,68.0,13.0,Moderate Fit,Consider if strong candidates are limited,Medium,review,"Review: final=69.95 between 50.0 and 70.0. Top drivers: ATS match=70, Skill match=87, Experience=89.",,,,ranked_Healthcare_Risk_Analyst_parsed_jd.json
14,Resume_2_Clinical_Data_Analyst_skills,medical billing data analyst,69.75,passthrough,87.0,83.0,68.0,21.0,Moderate Fit,Consider if strong candidates are limited,Medium,review,"Review: final=69.75 between 50.0 and 70.0. Top drivers: ATS match=70, Skill match=87, Experience=83.",,,,ranked_Medical_Billing_Data_Analyst_parsed_jd.json
15,Resume_2_Clinical_Data_Analyst_skills,global health data analyst,69.55,passthrough,87.0,81.0,68.0,23.0,Moderate Fit,Consider if strong candidates are limited,Medium,review,"Review: final=69.55 between 50.0 and 70.0. Top drivers: ATS match=70, Skill match=87, Experience=81.",,,,ranked_Global_Health_Data_Analyst_parsed_jd.json
16,Resume_2_Clinical_Data_Analyst_skills,telehealth data analyst,69.35,passthrough,87.0,85.0,68.0,16.0,Moderate Fit,Consider if strong candidates are limited,Medium,review,"Review: final=69.35 between 50.0 and 70.0. Top drivers: ATS match=69, Skill match=87, Experience=85.",,,,ranked_Telehealth_Data_Analyst_parsed_jd.json
17,Resume_2_Clinical_Data_Analyst_skills,wearable health data analyst,69.35,passthrough,87.0,79.0,68.0,25.0,Moderate Fit,Consider if strong candidates are limited,Medium,review,"Review: final=69.35 between 50.0 and 70.0. Top drivers: ATS match=69, Skill match=87, Experience=79.",,,,ranked_Wearable_Health_Data_Analyst_parsed_jd.json
18,Resume_2_Clinical_Data_Analyst_skills,digital health analyst,69.15,passthrough,87.0,83.0,68.0,18.0,Moderate Fit,Consider if strong candidates are limited,Medium,review,"Review: final=69.15 between 50.0 and 70.0. Top drivers: ATS match=69, Skill match=87, Experience=83.",,,,ranked_Digital_Health_Analyst_parsed_jd.json
19,Resume_2_Clinical_Data_Analyst_skills,ehr data analyst,69.15,passthrough,87.0,83.0,68.0,18.0,Moderate Fit,Consider if strong candidates are limited,Medium,review,"Review: final=69.15 between 50.0 and 70.0. Top drivers: ATS match=69, Skill match=87, Experience=83.",,,,ranked_EHR_Data_Analyst_Electronic_Health_parsed_jd.json
20,Resume_2_Clinical_Data_Analyst_skills,healthcare data analyst,68.85,passthrough,87.0,82.0,68.0,18.0,Moderate Fit,Consider if strong candidates are limited,Medium,review,"Review: final=68.85 between 50.0 and 70.0. Top drivers: ATS match=69, Skill match=87, Experience=82.",,,,ranked_Healthcare_Data_Analyst_parsed_jd.json
21,Resume_3_Healthcare_Reporting_Analyst_skills,healthcare reporting analyst,68.65,passthrough,90.0,78.0,53.0,29.0,Moderate Fit,Consider if strong candidates are limited,Medium,review,"Review: final=68.65 between 50.0 and 70.0. Top drivers: ATS match=69, Skill match=90, Experience=78.",,,,ranked_Healthcare_Reporting_Analyst_parsed_jd.json
22,Resume_2_Clinical_Data_Analyst_skills,freelance healthcare data analyst,68.65,passthrough,87.0,82.0,68.0,17.0,Moderate Fit,Consider if strong candidates are limited,Medium,review,"Review: final=68.65 between 50.0 and 70.0. Top drivers: ATS match=69, Skill match=87, Experience=82.",,,,ranked_Freelance_Healthcare_Data_Analyst_parsed_jd.json
23,Resume_2_Clinical_Data_Analyst_skills,epidemiology data analyst,68.55,passthrough,87.0,83.0,68.0,15.0,Moderate Fit,Consider if strong candidates are limited,Medium,review,"Review: final=68.55 between 50.0 and 70.0. Top drivers: ATS match=69, Skill match=87, Experience=83.",,,,ranked_Epidemiology_Data_Analyst_parsed_jd.json
24,Resume_2_Clinical_Data_Analyst_skills,senior healthcare data analyst,68.35,passthrough,87.0,81.0,68.0,17.0,Moderate Fit,Consider if strong candidates are limited,Medium,review,"Review: final=68.35 between 50.0 and 70.0. Top drivers: ATS match=68, Skill match=87, Experience=81.",,,,ranked_Senior_Healthcare_Data_Analyst_parsed_jd.json
25,Resume_2_Clinical_Data_Analyst_skills,healthcare data architect,67.9,passthrough,87.0,71.0,68.0,21.0,Moderate Fit,Consider if strong candidates are limited,Medium,review,"Review: final=67.9 between 50.0 and 70.0. Top drivers: ATS match=68, Skill match=87, Experience=71.",,,,ranked_Healthcare_Data_Architect_parsed_jd.json
26,Resume_2_Clinical_Data_Analyst_skills,population health analyst,67.65,passthrough,87.0,84.0,68.0,9.0,Moderate Fit,Consider if strong candidates are limited,Medium,review,"Review: final=67.65 between 50.0 and 70.0. Top drivers: ATS match=68, Skill match=87, Experience=84.",,,,ranked_Population_Health_Analyst_parsed_jd.json
27,Resume_2_Clinical_Data_Analyst_skills,data entry analyst (healthcare),67.55,passthrough,87.0,81.0,68.0,26.0,Moderate Fit,Consider if strong candidates are limited,Medium,review,"Review: final=67.55 between 50.0 and 70.0. Top drivers: ATS match=68, Skill match=87, Experience=81.",,,,ranked_Data_Entry_Analyst_Healthcare_parsed_jd.json
28,Resume_2_Clinical_Data_Analyst_skills,insurance claims analyst,67.55,passthrough,87.0,81.0,68.0,13.0,Moderate Fit,Consider if strong candidates are limited,Medium,review,"Review: final=67.55 between 50.0 and 70.0. Top drivers: ATS match=68, Skill match=87, Experience=81.",,,,ranked_Insurance_Claims_Analyst_parsed_jd.json
29,Resume_2_Clinical_Data_Analyst_skills,fraud & compliance analyst,67.25,passthrough,87.0,74.0,68.0,22.0,Moderate Fit,Consider if strong candidates are limited,Medium,review,"Review: final=67.25 between 50.0 and 70.0. Top drivers: ATS match=67, Skill match=87, Experience=74.",,,,ranked_fraud_compliance_analyst_parsed_jd.json
30,Resume_2_Clinical_Data_Analyst_skills,public health data analyst (entry-level),67.15,passthrough,87.0,77.0,68.0,17.0,Moderate Fit,Consider if strong candidates are limited,Medium,review,"Review: final=67.15 between 50.0 and 70.0. Top drivers: ATS match=67, Skill match=87, Experience=77.",,,,ranked_public_health_data_analyst_entrylevel_parsed_jd.json
31,Resume_2_Clinical_Data_Analyst_skills,health informatics specialist,67.15,passthrough,87.0,75.0,68.0,20.0,Moderate Fit,Consider if strong candidates are limited,Medium,review,"Review: final=67.15 between 50.0 and 70.0. Top drivers: ATS match=67, Skill match=87, Experience=75.",,,,ranked_Health_Informatics_Specialist_parsed_jd.json
32,Resume_2_Clinical_Data_Analyst_skills,healthcare program analyst,67.15,passthrough,87.0,75.0,68.0,20.0,Moderate Fit,Consider if strong candidates are limited,Medium,review,"Review: final=67.15 between 50.0 and 70.0. Top drivers: ATS match=67, Skill match=87, Experience=75.",,,,ranked_Healthcare_Program_Analyst_parsed_jd.json
33,Resume_2_Clinical_Data_Analyst_skills,revenue cycle data analyst,67.05,passthrough,87.0,80.0,68.0,12.0,Moderate Fit,Consider if strong candidates are limited,Medium,review,"Review: final=67.05 between 50.0 and 70.0. Top drivers: ATS match=67, Skill match=87, Experience=80.",,,,ranked_Revenue_Cycle_Data_Analyst_parsed_jd.json
34,Resume_2_Clinical_Data_Analyst_skills,public health analyst,66.95,passthrough,87.0,81.0,68.0,10.0,Moderate Fit,Consider if strong candidates are limited,Medium,review,"Review: final=66.95 between 50.0 and 70.0. Top drivers: ATS match=67, Skill match=87, Experience=81.",,,,ranked_Public_Health_Analyst_parsed_jd.json
