rank,candidate_id,job_role,final_score,scoring_mode,skill_score,experience_score,education_score,semantic_score,rating,recommendation,priority,zone,explanation,bias_flags,missing_scores,rejection_reasons,source_file
1,Resume_2_Clinical_Data_Analyst_skills,senior clinical data analyst,79.85,passthrough,87.0,96.0,68.0,52.0,Good Fit,Proceed to next interview round,Medium-High,shortlisted,"Shortlisted: final=79.85 >= 70.0. Top drivers: ATS match=80, Skill match=87, Experience=96.",,,,ranked_Senior_Clinical_Data_Analyst_parsed_jd.json
2,Resume_2_Clinical_Data_Analyst_skills,clinical data analyst,78.85,passthrough,87.0,100.0,68.0,41.0,Good Fit,Proceed to next interview round,Medium-High,shortlisted,"Shortlisted: final=78.85 >= 70.0. Top drivers: ATS match=79, Skill match=87, Experience=100.",,,,ranked_Clinical_Data_Analyst_parsed_jd.json
3,Resume_2_Clinical_Data_Analyst_skills,clinical research data analyst,78.65,passthrough,87.0,100.0,68.0,40.0,Good Fit,Proceed to next interview round,Medium-High,shortlisted,"Shortlisted: final=78.65 >= 70.0. Top drivers: ATS match=79, Skill match=87, Experience=100.",,,,ranked_Clinical_Research_Data_Analyst_parsed_jd.json
4,Resume_2_Clinical_Data_Analyst_skills,remote clinical data analyst,78.65,passthrough,87.0,92.0,68.0,52.0,Good Fit,Proceed to next interview round,Medium-High,shortlisted,"Shortlisted: final=78.65 >= 70.0. Top drivers: ATS match=79, Skill match=87, Experience=92.",,,,ranked_Remote_Clinical_Data_Analyst_parsed_jd.json
5,Resume_2_Clinical_Data_Analyst_skills,clinical data scientist,78.3,passthrough,87.0,87.0,68.0,53.0,Good Fit,Proceed to next interview round,Medium-High,shortlisted,"Shortlisted: final=78.3 >= 70.0. Top drivers: ATS match=78, Skill match=87, Experience=87.",,,,ranked_Clinical_Data_Scientist_parsed_jd.json
6,Resume_2_Clinical_Data_Analyst_skills,clinical trials data manager,73.7,passthrough,87.0,84.0,68.0,36.0,Good Fit,Proceed to next interview round,Medium-High,shortlisted,"Shortlisted: final=73.7 >= 70.0. Top drivers: ATS match=74, Skill match=87, Experience=84.",,,,ranked_Clinical_Trials_Data_Manager_parsed_jd.json
7,Resume_2_Clinical_Data_Analyst_skills,medical data analyst,71.55,passthrough,87.0,91.0,68.0,18.0,Good Fit,Proceed to next interview round,Medium-High,shortlisted,"Shortlisted: final=71.55 >= 70.0. Top drivers: ATS match=72, Skill match=87, Experience=91.",,,,ranked_Medical_Data_Analyst_parsed_jd.json
8,Resume_2_Clinical_Data_Analyst_skills,clinical informatics analyst,71.45,passthrough,87.0,88.0,68.0,22.0,Good Fit,Proceed to next interview round,Medium-High,shortlisted,"Shortlisted: final=71.45 >= 70.0. Top drivers: ATS match=71, Skill match=87, Experience=88.",,,,ranked_Clinical_Informatics_Analyst_parsed_jd.json
9,Resume_2_Clinical_Data_Analyst_skills,genomics data analyst,71.05,passthrough,87.0,88.0,68.0,20.0,Good Fit,Proceed to next interview round,Medium-High,shortlisted,"Shortlisted: final=71.05 >= 70.0. Top drivers: ATS match=71, Skill match=87, Experience=88.",,,,ranked_Genomics_Data_Analyst_parsed_jd.json
10,Resume_2_Clinical_Data_Analyst_skills,claims data analyst,70.35,passthrough,87.0,89.0,68.0,15.0,Good Fit,Proceed to next interview round,Medium-High,shortlisted,"Shortlisted: final=70.35 >= 70.0. Top drivers: ATS match=70, Skill match=87, Experience=89.",,,,ranked_Claims_Data_Analyst_Insurance_parsed_jd.json
11,Resume_2_Clinical_Data_Analyst_skills,healthcare data analyst (junior),70.25,passthrough,87.0,86.0,68.0,19.0,Good Fit,Proceed to next interview round,Medium-High,shortlisted,"Shortlisted: final=70.25 >= 70.0. Top drivers: ATS match=70, Skill match=87, Experience=86.",,,,ranked_healthcare_data_analyst_(junior)_parsed_jd.json
12,Resume_2_Clinical_Data_Analyst_skills,lead data analyst (healthcare),70.05,passthrough,87.0,86.0,68.0,18.0,Good Fit,Proceed to next interview round,Medium-High,shortlisted,"Shortlisted: final=70.05 >= 70.0. Top drivers: ATS match=70, Skill match=87, Experience=86.",,,,ranked_Lead_Data_Analyst_Healthcare_parsed_jd.json
13,Resume_2_Clinical_Data_Analyst_skills,healthcare risk analyst,69.95,passthrough,87.0,89.0,68.0,13.0,Moderate Fit,Consider if strong candidates are limited,Medium,review,"Review: final=69.95 between 50.0 and 70.0. Top drivers: ATS match=70, Skill match=87, Experience=89.",,,,ranked_Healthcare_Risk_Analyst_parsed_jd.json
14,Resume_2_Clinical_Data_Analyst_skills,medical billing data analyst,69.75,passthrough,87.0,83.0,68.0,21.0,Moderate Fit,Consider if strong candidates are limited,Medium,review,"Review: final=69.75 between 50.0 and 70.0. Top drivers: ATS match=70, Skill match=87, Experience=83.",,,,ranked_Medical_Billing_Data_Analyst_parsed_jd.json
15,Resume_2_Clinical_Data_Analyst_skills,global health data analyst,69.55,passthrough,87.0,81.0,68.0,23.0,Moderate Fit,Consider if strong candidates are limited,Medium,review,"Review: final=69.55 between 50.0 and 70.0. Top drivers: ATS match=70, Skill match=87, Experience=81.",,,,ranked_Global_Health_Data_Analyst_parsed_jd.json
16,Resume_2_Clinical_Data_Analyst_skills,telehealth data analyst,69.35,passthrough,87.0,85.0,68.0,16.0,Moderate Fit,Consider if strong candidates are limited,Medium,review,"Review: final=69.35 between 50.0 and 70.0. Top drivers: ATS match=69, Skill match=87, Experience=85.",,,,ranked_Telehealth_Data_Analyst_parsed_jd.json
17,Resume_2_Clinical_Data_Analyst_skills,wearable health data analyst,69.35,passthrough,87.0,79.0,68.0,25.0,Moderate Fit,Consider if strong candidates are limited,Medium,review,"Review: final=69.35 between 50.0 and 70.0. Top drivers: ATS match=69, Skill match=87, Experience=79.",,,,ranked_Wearable_Health_Data_Analyst_parsed_jd.json
18,Resume_2_Clinical_Data_Analyst_skills,digital health analyst,69.15,passthrough,87.0,83.0,68.0,18.0,Moderate Fit,Consider if strong candidates are limited,Medium,review,"Review: final=69.15 between 50.0 and 70.0. Top drivers: ATS match=69, Skill match=87, Experience=83.",,,,ranked_Digital_Health_Analyst_parsed_jd.json
