rank,resume_id,jd_id,job_role,final_score,skill_match,experience_relevance,education_alignment,semantic_similarity,weight_strategy,rating,recommendation,priority
1,Resume_2_Clinical_Data_Analyst_skills,Senior_Clinical_Data_Analyst_parsed_jd,senior clinical data analyst,79.85,87,96,68,52,mid_level,Good Fit,Proceed to next interview round,Medium-High
2,Resume_2_Clinical_Data_Analyst_skills,Clinical_Data_Analyst_parsed_jd,clinical data analyst,78.85,87,100,68,41,mid_level,Good Fit,Proceed to next interview round,Medium-High
3,Resume_2_Clinical_Data_Analyst_skills,Clinical_Research_Data_Analyst_parsed_jd,clinical research data analyst,78.65,87,100,68,40,mid_level,Good Fit,Proceed to next interview round,Medium-High
4,Resume_2_Clinical_Data_Analyst_skills,Remote_Clinical_Data_Analyst_parsed_jd,remote clinical data analyst,78.65,87,92,68,52,mid_level,Good Fit,Proceed to next interview round,Medium-High
5,Resume_2_Clinical_Data_Analyst_skills,Clinical_Data_Scientist_parsed_jd,clinical data scientist,78.3,87,87,68,53,technical,Good Fit,Proceed to next interview round,Medium-High
6,Resume_2_Clinical_Data_Analyst_skills,Clinical_Trials_Data_Manager_parsed_jd,clinical trials data manager,73.7,87,84,68,36,senior,Good Fit,Proceed to next interview round,Medium-High
7,Resume_2_Clinical_Data_Analyst_skills,Medical_Data_Analyst_parsed_jd,medical data analyst,71.55,87,91,68,18,mid_level,Good Fit,Proceed to next interview round,Medium-High
8,Resume_2_Clinical_Data_Analyst_skills,Clinical_Informatics_Analyst_parsed_jd,clinical informatics analyst,71.45,87,88,68,22,default,Good Fit,Proceed to next interview round,Medium-High
9,Resume_2_Clinical_Data_Analyst_skills,Genomics_Data_Analyst_parsed_jd,genomics data analyst,71.05,87,88,68,20,mid_level,Good Fit,Proceed to next interview round,Medium-High
10,Resume_2_Clinical_Data_Analyst_skills,Claims_Data_Analyst_Insurance_parsed_jd,claims data analyst,70.35,87,89,68,15,mid_level,Good Fit,Proceed to next interview round,Medium-High
11,Resume_2_Clinical_Data_Analyst_skills,healthcare data analyst (junior)_parsed_jd,healthcare data analyst (junior),70.25,87,86,68,19,mid_level,Good Fit,Proceed to next interview round,Medium-High
12,Resume_2_Clinical_Data_Analyst_skills,Lead_Data_Analyst_Healthcare_parsed_jd,lead data analyst (healthcare),70.05,87,86,68,18,mid_level,Good Fit,Proceed to next interview round,Medium-High
13,Resume_2_Clinical_Data_Analyst_skills,Healthcare_Risk_Analyst_parsed_jd,healthcare risk analyst,69.95,87,89,68,13,default,Moderate Fit,Consider if strong candidates are limited,Medium
14,Resume_2_Clinical_Data_Analyst_skills,Medical_Billing_Data_Analyst_parsed_jd,medical billing data analyst,69.75,87,83,68,21,mid_level,Moderate Fit,Consider if strong candidates are limited,Medium
15,Resume_2_Clinical_Data_Analyst_skills,Global_Health_Data_Analyst_parsed_jd,global health data analyst,69.55,87,81,68,23,mid_level,Moderate Fit,Consider if strong candidates are limited,Medium
16,Resume_2_Clinical_Data_Analyst_skills,Telehealth_Data_Analyst_parsed_jd,telehealth data analyst,69.35,87,85,68,16,mid_level,Moderate Fit,Consider if strong candidates are limited,Medium
17,Resume_2_Clinical_Data_Analyst_skills,Wearable_Health_Data_Analyst_parsed_jd,wearable health data analyst,69.35,87,79,68,25,mid_level,Moderate Fit,Consider if strong candidates are limited,Medium
18,Resume_2_Clinical_Data_Analyst_skills,Digital_Health_Analyst_parsed_jd,digital health analyst,69.15,87,83,68,18,default,Moderate Fit,Consider if strong candidates are limited,Medium
19,Resume_2_Clinical_Data_Analyst_skills,EHR_Data_Analyst_Electronic_Health_parsed_jd,ehr data analyst,69.15,87,83,68,18,mid_level,Moderate Fit,Consider if strong candidates are limited,Medium
20,Resume_2_Clinical_Data_Analyst_skills,Healthcare_Data_Analyst_parsed_jd,healthcare data analyst,68.85,87,82,68,18,mid_level,Moderate Fit,Consider if strong candidates are limited,Medium
21,Resume_2_Clinical_Data_Analyst_skills,Freelance_Healthcare_Data_Analyst_parsed_jd,freelance healthcare data analyst,68.65,87,82,68,17,mid_level,Moderate Fit,Consider if strong candidates are limited,Medium
22,Resume_3_Healthcare_Reporting_Analyst_skills,Healthcare_Reporting_Analyst_parsed_jd,healthcare reporting analyst,68.65,90,78,53,29,default,Moderate Fit,Consider if strong candidates are limited,Medium
23,Resume_2_Clinical_Data_Analyst_skills,Epidemiology_Data_Analyst_parsed_jd,epidemiology data analyst,68.55,87,83,68,15,mid_level,Moderate Fit,Consider if strong candidates are limited,Medium
24,Resume_2_Clinical_Data_Analyst_skills,Senior_Healthcare_Data_Analyst_parsed_jd,senior healthcare data analyst,68.35,87,81,68,17,mid_level,Moderate Fit,Consider if strong candidates are limited,Medium
